Country,Independence Date,Year,Approx Years of British Rule,Basis for Start Date,Name Before British,Split Up After British Left,Still a Commonwealth Realm,United After Independence,Violence or Bloodshed at Transfer,Source URL
Fiji,10 October 1970,1970,96,"From cession by chiefs, 1874",Colony of Fiji,No,No - republic 1987; realm 1970-87,iTaukei and Indo-Fijian split,"No at transfer; coups 1987, 2000, 2006",https://en.wikipedia.org/wiki/Fiji_Independence_Act_1970
Bahrain,15 August 1971,1971,91,"From exclusive agreement, 1880",British Protectorate of Bahrain,Declined to join the UAE federation,"No - emirate, kingdom from 2002",Yes,No,https://en.wikipedia.org/wiki/History_of_Bahrain
Qatar,3 September 1971,1971,55,"From treaty, 1916",British Protectorate of Qatar,Yes - walked out of the nine-state federation,No - emirate,Yes,No,https://en.wikipedia.org/wiki/History_of_Qatar
United Arab Emirates,2 December 1971 (Ras Al Khaimah joined 10 February 1972),1971,151,"From General Maritime Treaty, 1820",Trucial States / Trucial Oman,"No - a federation, not a partition",No - federal monarchy,Yes,No; Iran seized Abu Musa and the Tunbs on 30 November 1971,https://en.wikipedia.org/wiki/Trucial_States
Bangladesh,16 December 1971 (declared 26 March 1971),1971,190,As part of British India,East Bengal / East Pakistan,Yes - seceded from Pakistan,No - republic,Yes,"Yes - 300,000 to 3 million dead, ~10 million refugees",https://en.wikipedia.org/wiki/Bangladesh_Liberation_War
The Bahamas,10 July 1973,1973,255,"From Crown colony status, 1718",British Bahamas,No,Yes,Yes,No,https://en.wikipedia.org/wiki/Bahamas_Independence_Act_1973
Grenada,7 February 1974,1974,211,"From cession by France, 1763","Grenada, Windward Islands",No - Carriacou and Petite Martinique included,Yes,Yes,Strikes and killings around the date; Bishop's father shot January 1974,https://en.wikipedia.org/wiki/History_of_Grenada
Papua New Guinea,16 September 1975,1975,91,"British New Guinea 1884, Australian from 1906",Papua and New Guinea,Bougainville still unresolved,Yes,Bougainville nearly left,"No at transfer; Bougainville civil war 1988-98, up to 20,000 dead",https://en.wikipedia.org/wiki/Papua_New_Guinea_Independence_Act_1975
Seychelles,29 June 1976,1976,162,"From formal British cession, 1814",French Sechelles,Aldabra group returned from BIOT at independence,No - republic at independence,Yes,No at transfer; coup in 1977,https://en.wikipedia.org/wiki/History_of_Seychelles
Solomon Islands,7 July 1978,1978,85,"From protectorate, 1893",British Solomon Islands Protectorate,Northern Solomons stayed with PNG,Yes,Guadalcanal/Malaita tensions 1998-2003,No,https://en.wikipedia.org/wiki/Solomon_Islands_Act_1978
Tuvalu,1 October 1978,1978,86,"From protectorate, 1892",Ellice Islands (Gilbert and Ellice Islands Colony),Yes - separated from the Gilberts by 1974 referendum,Yes,Yes,No - a consensual separation,https://en.wikipedia.org/wiki/History_of_Tuvalu
Dominica,3 November 1978,1978,215,"From cession by France, 1763","Dominica, Windward Islands",No,No - republic from day one,Yes,No,https://en.wikipedia.org/wiki/History_of_Dominica
Saint Lucia,22 February 1979,1979,165,"From final British possession, 1814","Saint Lucia, Windward Islands",No,Yes,Yes,No,https://en.wikipedia.org/wiki/History_of_Saint_Lucia
Kiribati,12 July 1979,1979,87,"From protectorate, 1892",Gilbert Islands,Yes - separated from the Ellice Islands,No - republic at independence,Banaba's grievance unresolved,No,https://en.wikipedia.org/wiki/History_of_Kiribati
Saint Vincent and the Grenadines,27 October 1979,1979,216,"From cession by France, 1763","Saint Vincent, Windward Islands",No,Yes,Yes,"Union Island uprising December 1979, weeks after independence",https://en.wikipedia.org/wiki/History_of_Saint_Vincent_and_the_Grenadines
Zimbabwe,18 April 1980,1980,90,"From BSAC occupation, 1890",Southern Rhodesia / Rhodesia (UDI 1965),Yes - left the Central African Federation 1963,No - republic at independence,"Shona/Ndebele split, then Gukurahundi","Yes - Rhodesian Bush War 1964-79, 20,000+ dead; Gukurahundi 1983-87, ~20,000 Ndebele",https://en.wikipedia.org/wiki/Lancaster_House_Agreement
Vanuatu,30 July 1980,1980,74,Anglo-French condominium from 1906,New Hebrides,Santo secession defeated,No - republic,Anglophone/francophone split persists,Yes - Santo Rebellion (Coconut War) 1980,https://en.wikipedia.org/wiki/New_Hebrides
Belize,21 September 1981,1981,119,"From colony of British Honduras, 1862",British Honduras (renamed 1973),No,Yes,Yes,No; British troops stayed until 1994 over the Guatemalan claim,https://en.wikipedia.org/wiki/History_of_Belize
Antigua and Barbuda,1 November 1981,1981,349,"From English settlement, 1632","Antigua, Leeward Islands",Barbuda still seeking separation,Yes,Barbuda objected to the union,No,https://en.wikipedia.org/wiki/History_of_Antigua_and_Barbuda
Saint Kitts and Nevis,19 September 1983,1983,360,"From English settlement, 1623",Saint Christopher-Nevis-Anguilla,Yes - Anguilla broke away in 1967 and returned to British rule,Yes,Nevis retains a constitutional right to secede,"Anguilla crisis; British paratroopers landed 1969, no deaths",https://en.wikipedia.org/wiki/History_of_Saint_Kitts_and_Nevis
Brunei,1 January 1984,1984,96,"From protectorate, 1888",Sultanate of Brunei,Lost Sarawak and Sabah to the Brookes and the North Borneo Company earlier,No - its own absolute monarchy,Yes,1962 Brunei Revolt crushed by British troops from Singapore,https://en.wikipedia.org/wiki/History_of_Brunei

NOTE,"'Approx Years of British Rule' has no single correct value; the basis used is given in the adjacent column. India shows 190 yrs from Plassey (1757) but direct Crown rule was 89 yrs (1858-1947). Barbados (339 yrs, unbroken from 1627) is the most solid figure."
NOTE,Independence was often staged. Canada is dated 1867 but was not fully sovereign until 1931 and could not amend its own constitution until 1982. Egypt's 1922 declaration left Britain in the Suez Canal Zone until 1956.
NOTE,"'Still a Commonwealth Realm' means King Charles III remains head of state. 14 former colonies qualify (15 realms including the UK). Barbados was the most recent to leave, on 30 November 2021."
NOTE,"'Violence or Bloodshed' is scored on the transfer itself and the decade around it, not the whole colonial period. A 'No' means the handover was orderly, not that British rule was peaceful."
NOTE,"Edge cases included: Bangladesh (seceded from Pakistan, not Britain); Samoa and Nauru (New Zealand and Australian administration under League of Nations mandate); Libya (British and French military administration under UN trusteeship); Oman (never formally a colony)."
NOTE,"Excluded: Nepal and Bhutan (never annexed); Hong Kong (transferred to China 1 July 1997, not made independent); the 14 remaining British Overseas Territories; Northern Ireland."
SOURCE,"Master list: https://en.wikipedia.org/wiki/List_of_countries_that_have_gained_independence_from_the_United_Kingdom (Wikipedia counts 65; this file has 66, including the edge cases and listing Singapore separately from Malaysia)."
SOURCE,Realm status verified against https://en.wikipedia.org/wiki/List_of_current_monarchies
SOURCE,UK Independence Acts in full at https://www.legislation.gov.uk
